"","본인","배우자","모","부","시모","시부","조모","조부","장남","장녀","차남","차녀","삼남","삼녀","사남","사녀","오녀","손자1","손자2","손자3","손자4","손녀1","손녀2","손녀3","손녀4","손녀5",""
"국무조정실|대통령권한대행국무총리|황교안","1749119","772612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|국무조정실장|이석준","695204","32252","160","127349","0","0","0","0","0","1003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|국무1차장|오균","312244","24421","0","0","0","0","0","0","3146","0","11480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|국무2차장|노형욱","401022","271324","0","0","0","0","0","0","3079","0","1448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|국정운영실장|최병환","402511","580809","179035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|정부업무평가실장|이철우","754290","150684","0","0","0","0","0","0","328","53","169","1473","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|규제조정실장|강영철","1224095","1128497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|경제조정실장|성윤모","-73613","1260786","0","0","0","0","0","0","9051","9010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실|사회조정실장|임찬우","457875","635459","0","0","0","0","0","0","0","15987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실조세심판원|원장|심화석","423887","18223","114032","0","0","0","0","0","3866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실대테러센터|센터장|문영기","266273","276438","0","0","0","0","0","0","10043","13790","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실대외경제정책연구원|원장|현정택","883751","1534339","10034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실한국개발연구원|원장|김준경","1626143","1176979","0","0","0","0","0","0","265823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실한국교육과정평가원|원장|김영수","641027","472203","0","0","0","0","0","0","0","63375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실한국보건사회연구원|원장|김상호","2820590","277381","0","0","0","0","0","0","459","0","1747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무조정실한국조세재정연구원|원장|박형수","1149575","395504","70733","1034154","0","0","0","0","85248","81973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무총리비서실|실장|심오택","922647","79743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무총리비서실|정무실장|이종성","352282","292883","25927","228966","0","0","0","0","0","16163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국무총리비서실|민정실장|이태용","1337644","875890","0","0","0","0","0","0","1701","0","368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|장관|박인용","119470","206600","0","0","0","0","0","0","0","3780","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|차관|이성호","2627950","660782","0","0","0","0","0","0","63952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|기획조정실장|김동현","353398","1357637","406423","0","0","0","0","0","71896","82134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|안전정책실장|정종제","365365","298866","0","0","0","0","0","0","0","16773","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|재난관리실장|김희겸","481007","108295","136463","0","0","0","0","0","0","5664","0","2478","0","1582","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|특수재난실장|김경수","3297282","2154564","0","0","0","0","0","0","666890","393074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|중앙소방본부장|조송래","458130","482717","0","0","0","0","0","0","0","0","17743","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|해양경비안전본부장|홍익태","1063799","33669","0","0","0","0","0","0","0","126407","0","11981","0","15580","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|소방조정관|조종묵","560872","544271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|소방정감|박두석","388975","14087","0","0","0","0","0","0","-69936","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|해양경비안전조정관|이춘재","123368","73440","34442","0","0","0","0","0","0","12156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|치안정감|최상환","401657","20316","0","0","0","0","0","0","1222","4178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|남해해양경비안전본부장|김두석","-3276","763083","0","0","0","0","0","0","2485","0","2452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민안전처|중부해양경비안전본부장|이원희","20143","342434","0","0","0","0","0","0","21201","30316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처|처장|김동극","1145832","1807959","5898","0","0","0","0","0","0","74510","0","47245","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처|차장|박제국","-56490","21798","0","0","0","0","0","0","0","24859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처국가공무원인재개발원|원장|옥동석","74602","61672","0","81415","0","0","0","0","0","0","0","19751","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처소청심사위원회|위원장|김승호","882432","-5857","0","0","0","0","0","0","44","204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처소청심사위원회|상임위원|오동호","986563","746672","0","0","0","0","0","0","29381","50224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처소청심사위원회|상임위원|조명우","342165","518269","0","73","0","0","0","0","12248","0","10155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처소청심사위원회|상임위원|홍성삼","-34888","506902","0","139444","0","0","0","0","1414","734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처소청심사위원회|상임위원|황서종","627610","277700","44854","299587","0","0","0","0","1081","12320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"인사혁신처공무원연금공단|이사장|최재식","2052246","153233","0","0","0","0","0","0","57425","199893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"법제처|처장|제정부","766028","672850","0","0","0","0","0","0","15166","0","16773","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"법제처|차장|황상철","355315","410020","0","0","0","0","0","0","42916","33977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가보훈처|처장|박승춘","227160","501397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가보훈처|차장|최완근","175215","28815","0","0","0","0","0","0","0","10958","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가보훈처보훈심사위원회|위원장|이성국","371527","60400","74475","502567","0","0","0","0","4820","0","5078","0","4637","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가보훈처한국보훈복지의료공단|이사장|김옥이","1701329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가보훈처독립기념관|관장|윤주경","2861720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"식품의약품안전처|처장|손문기","721177","56520","0","0","0","0","0","0","0","158739","0","157624","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"식품의약품안전처|차장|유무영","692365","1686149","87887","0","0","0","0","0","0","85521","0","66139","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"식품의약품안전처식품의약품안전평가원|원장|손여원","1860542","2213752","0","0","0","0","0","0","104914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"공정거래위원회|위원장|정재찬","9215","262706","117000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"공정거래위원회|사무처장|신영선","919866","176825","0","0","0","0","0","0","0","6863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"공정거래위원회|상임위원|신동권","269419","137194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"공정거래위원회|상임위원|김성하","760245","642626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"공정거래위원회한국소비자원|원장|한견표","5135762","1165346","0","0","0","0","0","0","95457","78272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회|위원장|임종룡","1552870","566887","0","0","0","0","0","0","0","52388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회|부위원장|정은보","2394718","1632177","0","0","0","0","0","0","348","34686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회|상임위원|김학균","3667290","6101631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회|상임위원|손병두","1099807","398560","0","0","0","0","0","0","18057","29206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회|사무처장|김용범","728965","165653","0","0","0","0","0","0","1076","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융정보분석원|원장|유광열","737722","985248","59110","0","0","0","0","0","44900","117539","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|원장|진웅섭","128031","40993","649","0","0","0","0","0","2686","28590","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|감사|김일태","950225","324539","163964","0","0","0","0","0","145325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장|서태종","509778","450648","39475","0","0","0","0","0","19542","0","17662","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장|박세춘","776948","605175","22474","0","0","0","0","0","-2990","15629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장|이동엽","1377582","1006098","0","0","0","0","0","0","3031","222013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장|김수일","2162408","123411","0","0","0","0","0","0","108","0","1973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|권순찬","1285977","39879","0","215097","0","0","0","0","72497","79274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|김영기","469853","326021","52305","63693","0","0","0","0","530","21923","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|류찬우","434336","531604","0","0","0","0","0","0","23600","20664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|민병현","328007","208935","204761","0","0","0","0","0","0","51529","0","21411","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|조두영","1610157","426446","0","0","0","0","0","0","768","11849","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|박희춘","816712","1814818","0","0","0","0","0","0","2842","5820","0","3096","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회금융감독원|부원장보|천경미","1048833","0","0","7965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회예금보험공사|사장|곽범국","962065","211541","-93777","0","0","0","0","0","0","393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"금융위원회주택금융공사|사장|김재천","1218323","2769080","0","0","0","0","0","0","0","0","0","0","0","92848","0","0","0","0","0","0","0","0","0","0","0","0",""
